"id","type","test","result","n","rng"
"cebersole.ashland","Genuine","Benford, congruent means",7.30996707505193e-55,84,NA
"cebersole.ashland","Genuine","Benford, congruent sds",0.0182354607099887,84,NA
"cebersole.ashland","Genuine","Benford, incongruent means",1.10045467691886e-47,84,NA
"cebersole.ashland","Genuine","Benford, incongruent sds",2.71001194552714e-08,84,NA
"cebersole.ashland","Genuine","Terminal digits, congruent means",0.739918292094654,84,NA
"cebersole.ashland","Genuine","Terminal digits, congruent sds",0.592591157329298,84,NA
"cebersole.ashland","Genuine","Terminal digits, incongruent means",0.42852976687912,84,NA
"cebersole.ashland","Genuine","Terminal digits, incongruent sds",0.49625740258401,84,NA
"cebersole.ashland","Genuine","Variance analysis, congruent sds (maxmin)",0.00084,84,NA
"cebersole.ashland","Genuine","Variance analysis, incongruent sds (maxmin)",0.00084,84,NA
"cebersole.ashland","Genuine","Multivariate association, M-SD congruent",0.758229834962399,84,NA
"cebersole.ashland","Genuine","Multivariate association, M-SD incongruent",0.869855320789749,84,NA
"cebersole.ashland","Genuine","Multivariate association, M-M across",0.889740173021211,84,NA
"cebersole.ashland","Genuine","Multivariate association, SD-SD across",0.480088616361218,84,NA
"cebersole.ashland","Genuine","Effect size (r)",0.316471426276681,84,NA
"cebersole.bradley","Genuine","Benford, congruent means",2.20834908683544e-72,119,NA
"cebersole.bradley","Genuine","Benford, congruent sds",0.000145223856527497,119,NA
"cebersole.bradley","Genuine","Benford, incongruent means",1.20141505860677e-65,119,NA
"cebersole.bradley","Genuine","Benford, incongruent sds",1.1703950202772e-06,119,NA
"cebersole.bradley","Genuine","Terminal digits, congruent means",0.423430404075228,119,NA
"cebersole.bradley","Genuine","Terminal digits, congruent sds",0.710158950012935,119,NA
"cebersole.bradley","Genuine","Terminal digits, incongruent means",0.553735308413286,119,NA
"cebersole.bradley","Genuine","Terminal digits, incongruent sds",0.0626219965004746,119,NA
"cebersole.bradley","Genuine","Variance analysis, congruent sds (maxmin)",0.00119,119,NA
"cebersole.bradley","Genuine","Variance analysis, incongruent sds (maxmin)",0.00119,119,NA
"cebersole.bradley","Genuine","Multivariate association, M-SD congruent",0.618001573760102,119,NA
"cebersole.bradley","Genuine","Multivariate association, M-SD incongruent",0.733663553980277,119,NA
"cebersole.bradley","Genuine","Multivariate association, M-M across",0.825334176893258,119,NA
"cebersole.bradley","Genuine","Multivariate association, SD-SD across",0.164271545999296,119,NA
"cebersole.bradley","Genuine","Effect size (r)",0.276190077249622,119,NA
"cebersole.carleton","Genuine","Benford, congruent means",1.03963929261234e-20,51,NA
