"id","result"
"R_b7NcYSS2XVZ19sx",1
"R_9XhjfXDjcchvSiF",1
"R_3JEilrqcgWYTOkd",1
"R_b15VgWRi3OO8GTr",1
"R_0uluna5FaEUzLX7",1
"R_5gX9gg6o9wan8hf",1
"sdsu    ",1
"tamuon  ",1
"R_0vzAw1uhXrl3HYF",0.999999999999999
"R_5gOxDE29u0gvbpP",0.999999999999987
"ithaca  ",0.999999999999915
"pi      ",0.999999999999844
"R_6J4mfJ8SsiNiAzH",0.999999999999415
"lse     ",0.999999999789167
"uva     ",0.99999999701535
"R_cI3HJGEveMkJvJX",0.999999996950278
"wpi     ",0.999999995437271
"R_4Jf3zUJrydSIasB",0.999999950913281
"charles ",0.999999940904022
"oxy     ",0.999999920891194
"swpson  ",0.999999834930169
"mturk   ",0.999999454872282
"R_9trUkiQsSxXwcdf",0.999998990853906
"conncoll",0.999996420482722
"tamuc   ",0.999990045422742
"luc     ",0.999950704530502
"R_9oXL1wKLgHV0wy9",0.999882472869601
"brasilia",0.999684561527239
"R_8hKoWepYoJSjfBr",0.9952340027822
"R_b1m4wPk2ZD49OhT",0.992700049817238
"swps    ",0.991053472161723
"tamu    ",0.990711411265411
"R_9XNpDt2uKwbNcYl",0.98944218421147
"R_bNueNo2zueuVjs9",0.98809115564369
"R_eFHTxfb09aaIYu1",0.982502420188114
"osu     ",0.941169768367755
"R_3x7GgQ7uomYyk4Z",0.874565430759686
"qccuny  ",0.844460594754713
"R_6SdnyUSyMBF0LjL",0.805590687336712
"R_cMAtB0JKM1wd5Nb",0.803192535543662
"mcdaniel",0.691707501971083
"vcu     ",0.690130448250173
"R_e8KA2KyuDdGa7Rj",0.528308080427213
"abington",0.489955632363516
"jmu     ",0.416405465021437
"R_9KSXM3BeGiUQ3pX",0.300405360622519
"R_834eeqsBqK5UgPb",0.268975446663481
"wku     ",0.227064843443688
"R_38xRJurCRPdYtxP",0.198666837029674
"help    ",0.0838479331015624
"unipd   ",0.0562800478978969
"R_dhUJJWdWK2rfLWR",0.0551141850588488
"ufl     ",0.0221036282289838
"R_cwHUL1vSza2WkKN",0.015756298857219
"tilburg ",0.0137652224218984
"R_3z6hazgLG9HqNF3",0.0135518130595187
"R_8ix0y1CxSOLBElT",0.00272295370010547
"R_ePBRkH3qhhmZczP",0.00259016247457578
"wisc    ",0.0023727842405542
"msvu    ",0.000917883807777831
"qccuny2 ",0.000260909065233688
"R_5jRnZk1wSlL1WAd",0.000135808147085322
"laurier ",8.93231580504033e-05
"R_cZwRjPHGzD5F1PL",5.97216407686776e-05
"R_8vLYlGUBrQGm2Ed",4.83228413302692e-05
"csun    ",1.914958917274e-05
"wl      ",3.5323501055227e-06
"R_d6CakeFzNMcsjY1",1.09711746293404e-06
"ku      ",2.68319970725279e-08
"R_3dDn13bLDTS8Em1",3.10640638989942e-11
"R_1KQeAX2cqp2gCEJ",7.11156559600864e-14
"psu     ",2.13697592138644e-14
"R_42bbGk7FpQyatgh",7.38548404069567e-61
"R_3q1OkcSjG1fEFtX",1.88049568598344e-134
"R_6opw4qQURhqxT3D",0
