"id","result"
"R_8hKoWepYoJSjfBr",1
"R_9XhjfXDjcchvSiF",1
"R_834eeqsBqK5UgPb",1
"R_3JEilrqcgWYTOkd",1
"R_b15VgWRi3OO8GTr",1
"charles ",1
"csun    ",1
"osu     ",1
"swps    ",1
"msvu    ",0.999999999999838
"R_6SdnyUSyMBF0LjL",0.999999999999009
"R_eFHTxfb09aaIYu1",0.999999999993183
"R_38xRJurCRPdYtxP",0.999999999960416
"lse     ",0.999999999551235
"R_6J4mfJ8SsiNiAzH",0.999999996207326
"tilburg ",0.999999966987699
"swpson  ",0.999999797839241
"sdsu    ",0.999998331949227
"R_ePBRkH3qhhmZczP",0.999997958433409
"R_3q1OkcSjG1fEFtX",0.99999736974215
"R_0vzAw1uhXrl3HYF",0.999996437681273
"ku      ",0.999983376700653
"pi      ",0.9999790771734
"R_3x7GgQ7uomYyk4Z",0.999385776790847
"R_b7NcYSS2XVZ19sx",0.998819742496962
"R_5gX9gg6o9wan8hf",0.996096192608892
"R_9trUkiQsSxXwcdf",0.9934998225981
"R_9KSXM3BeGiUQ3pX",0.990018980589287
"R_42bbGk7FpQyatgh",0.989393534376924
"ufl     ",0.963770736034321
"abington",0.958611583471719
"wku     ",0.952766140217133
"tamuon  ",0.921814639762323
"R_9XNpDt2uKwbNcYl",0.918679666787909
"R_d6CakeFzNMcsjY1",0.88812204044213
"unipd   ",0.885427689640709
"tamuc   ",0.876557210253571
"R_b1m4wPk2ZD49OhT",0.871044375473984
"R_5gOxDE29u0gvbpP",0.865227885611917
"R_dhUJJWdWK2rfLWR",0.831330037031
"conncoll",0.791966841764184
"R_3dDn13bLDTS8Em1",0.764284954670599
"tamu    ",0.760732021423118
"wpi     ",0.722134813817064
"mturk   ",0.601196829216177
"luc     ",0.585696238818918
"R_e8KA2KyuDdGa7Rj",0.514152167674295
"qccuny  ",0.501607380370186
"wisc    ",0.481717720331857
"brasilia",0.209429743380258
"wl      ",0.206913639844625
"R_8ix0y1CxSOLBElT",0.161723277906765
"ithaca  ",0.157509179853046
"qccuny2 ",0.113134960719544
"R_8vLYlGUBrQGm2Ed",0.0264038423968555
"help    ",0.0246843235068149
"vcu     ",0.0108127306613794
"R_9oXL1wKLgHV0wy9",0.00949647010768504
"laurier ",0.00593762599072307
"R_cZwRjPHGzD5F1PL",0.005729772862956
"mcdaniel",0.00449018313355443
"oxy     ",0.00125226036161471
"R_4Jf3zUJrydSIasB",0.000703706861426258
"R_bNueNo2zueuVjs9",0.000580422668401413
"R_cwHUL1vSza2WkKN",0.000358529685071122
"uva     ",0.000131567968670043
"R_cI3HJGEveMkJvJX",0.000128432158100167
"R_0uluna5FaEUzLX7",8.01097326207648e-05
"psu     ",1.66691230270652e-05
"R_3z6hazgLG9HqNF3",6.22368334681015e-07
"R_cMAtB0JKM1wd5Nb",1.18977171109991e-07
"R_5jRnZk1wSlL1WAd",5.04069800692798e-09
"jmu     ",1.03539069454958e-09
"R_1KQeAX2cqp2gCEJ",1.29761077084925e-21
"R_6opw4qQURhqxT3D",0
