"SESSION_ID","MC","NC","MI","NI","S","StroopEffect"
667736,665.761904761905,21,784.047619047619,42,219.01601271342,0.540077927728919
668587,630.761904761905,21,881.057142857143,42,321.91054204223,0.77753041732446
673719,589.547619047619,21,556.113553113553,42,210.432951180075,-0.158882274598978
674887,536.952380952381,21,635.700348432056,42,160.076194839881,0.616881027053704
674964,574.52380952381,21,638.846428571429,42,93.2934379995211,0.689465630454622
675118,511.047619047619,21,633.309523809524,42,257.673009700891,0.474484715740417
675119,595.285714285714,21,911.602787456446,42,1092.52949829907,0.289527260969335
675120,568.285714285714,21,621.221428571429,42,187.394672784415,0.282482492693979
675163,585.380952380952,21,749.652014652015,42,290.099883441689,0.566256905456776
675165,572.921428571429,21,585.590733590734,42,138.402787015414,0.0915393778731787
675171,576.021428571429,21,569.146428571429,42,146.671022020592,-0.0468736080603214
675174,652.371428571429,21,605,42,225.537454340555,-0.210037967795359
675175,513.821428571429,21,550.94425087108,42,133.057107999051,0.278999167033726
675181,466.666666666667,21,583.321428571429,42,198.542561265538,0.587555439806902
675187,591,21,589.651567944251,42,195.06803718891,-0.00691262430883645
675189,577.52380952381,21,637.261904761905,42,165.457348439366,0.36104830520711
675194,513.190476190476,21,623.216117216117,42,192.631977650543,0.571170178324393
675197,697.621428571429,21,924.685714285714,42,349.876447649065,0.648984197821847
675204,579.871428571429,21,603.04181184669,42,246.506633214158,0.0939949687079275
675205,458.190476190476,21,575.921428571429,42,267.291531555959,0.440458968885458
675206,579.809523809524,21,567.357142857143,42,174.170094190103,-0.0714955171281554
675210,470.666666666667,21,526.071428571429,42,146.647070846908,0.377810218675295
675215,699.190476190476,21,685.846428571429,42,194.634473159501,-0.0685595280344418
675216,733.511278195489,21,750.1393728223,42,303.084341993416,0.0548629286404114
675217,550.809523809524,21,640.432055749129,42,226.219408501248,0.396175255400823
675218,529.821428571429,21,535.285714285714,42,168.499899178807,0.0324290147407581
675220,502.190476190476,21,520.857142857143,42,154.050923879013,0.12117205269945
675223,555.871428571429,21,640.773519163763,42,123.800776412901,0.685796107684885
675224,542,21,625.714285714286,42,240.136645048045,0.348611040591229
675225,532.190476190476,21,768.871428571429,42,286.086518687727,0.827305506972516
675234,627.285714285714,21,553.47619047619,42,219.389571133568,-0.336431323641119
675236,460.904761904762,21,655.146428571429,42,366.228779761617,0.53038340349194
675237,538.621428571429,21,565.357142857143,42,182.925922652347,0.146155962468621
675241,475.619047619048,21,528.214285714286,42,135.132053144302,0.389213638595973
675243,659.666666666667,21,724.919860627178,42,237.058631045458,0.275261835743911
675247,589.971428571429,21,633.164835164835,42,222.750701293943,0.193909183416704
675248,560.380952380952,21,545.212543554007,42,127.809759969738,-0.118679581516599
675249,560.47619047619,21,567.700348432056,42,90.8778388664619,0.0794930650417495
675258,513.471428571429,21,688.114982578397,42,490.623823934409,0.355962237231914
675260,781.714285714286,21,1083.22180451128,42,661.783606025394,0.455598349750331
675261,540.333333333333,21,615.547619047619,42,206.383674737506,0.364439124412087
675262,530.285714285714,21,522.880952380952,42,119.564553859756,-0.0619310796195282
675266,740.428571428571,21,642.651567944251,42,193.554734427915,-0.505164618025582
675388,549.47619047619,21,594.47619047619,42,140.752225346856,0.319710753340534
675392,542.095238095238,21,576.1393728223,42,141.672352723376,0.240301894283741
675414,552.952380952381,21,570.714285714286,42,122.697393132935,0.144761875606116
675425,703.619047619048,21,728.471428571429,42,287.71261750786,0.0863791833936585
675451,581.321428571429,21,718.29304029304,42,207.735227165481,0.659356689717825
675456,486.571428571429,21,485.261324041812,42,92.3890561967056,-0.0141802999570355
675464,507.666666666667,21,558.602787456446,42,125.787448835349,0.404938022524431
675469,577.904761904762,21,736.880952380952,42,178.676695539239,0.889742168089724
675482,846.761904761905,21,815.404761904762,42,233.497037153466,-0.134293536395211
675515,531.142857142857,21,574.480836236934,42,223.838429491423,0.193612773251419
675528,677.380952380952,21,742.714285714286,42,368.39021531855,0.177348177602489
675554,690.971428571429,21,836.47619047619,42,363.635774096921,0.400138743956418
675556,562.563909774436,21,503.571428571429,42,160.374440613789,-0.367842163484593
675569,719.571428571429,21,683.642857142857,42,259.211859332155,-0.138606973929122
675570,458.071428571429,21,504.066202090592,42,163.036855935836,0.282112736136578
675585,634.428571428571,21,704.642857142857,42,202.577879431647,0.346603913079152
675602,493.353383458647,21,504.627177700348,42,221.740862651636,0.0508422043050018
675603,497.428571428571,21,574.619047619048,42,258.251946943984,0.298896008738393
675610,489.952380952381,21,489.1393728223,42,123.297849121938,-0.00659385492829853
675614,561.428571428571,21,597.666666666667,42,101.776103875224,0.356057010027839
675616,557.047619047619,21,557.456445993031,42,244.550137932863,0.00167175103178459
675618,569.774436090226,21,580.642857142857,42,190.509017614258,0.0570493784952369
675673,554.190476190476,21,505.619047619048,42,138.014124702914,-0.351930852555724
675678,473.571428571429,21,507.166666666667,42,100.226351607647,0.335193664703595
675689,528.619047619048,21,534.928571428571,42,162.490351046786,0.0388301444909006
675713,546.380952380952,21,621.333333333333,42,223.748718412632,0.334984626880211
675724,510.761904761905,21,529.095238095238,42,126.132353945074,0.145349965809064
675762,786.428571428571,21,788.952380952381,42,201.445190745652,0.012528517133954
675771,572.666666666667,21,636.29304029304,42,245.823980478982,0.258828994235628
675778,589.021428571429,21,642.646428571429,42,178.4271013845,0.300542908470173
675783,636.571428571429,21,688.821428571429,42,107.746725382264,0.484933531062101
675784,661.190476190476,21,890.985347985348,42,342.04788543741,0.671820764221392
675785,694.857142857143,21,865.871428571429,42,366.316798306209,0.466848057487478
675887,503.904761904762,21,560.407665505227,42,220.286142096566,0.256497767234471
675897,598.809523809524,21,778.346428571429,42,386.414493330333,0.464622595323889
675904,565.921428571429,21,522,42,137.345254493128,-0.319788468364054
675911,673.095238095238,21,790.095238095238,42,296.619432198236,0.394444824915608
675914,600.666666666667,21,559.142857142857,42,246.086104263783,-0.168736912829907
675921,497.380952380952,21,619.142857142857,42,130.872931265144,0.930382651208595
675922,557.721428571429,21,635,42,162.290151693992,0.476175360130818
675933,615.221428571429,21,601.738095238095,42,187.141174366601,-0.0720489939157919
675954,657.238095238095,21,766.846428571429,42,307.254138238171,0.356735092200351
675955,620.380952380952,21,688.353383458647,42,291.5145801471,0.233169919128556
675968,579.428571428571,21,661.321428571429,42,206.488682392726,0.396597315619957
675970,567.952380952381,21,535.761904761905,42,136.159758279403,-0.236416960468015
675971,619.47619047619,21,649.309523809524,42,135.221956318337,0.220624920283659
675982,544.761904761905,21,564.627177700348,42,194.95124883823,0.10189866983067
675985,595.619047619048,21,649.578397212544,42,345.74902518854,0.156065080918367
675986,507.52380952381,21,611.050193050193,42,103.853641955246,0.99684884975913
675988,523.952380952381,21,563.095238095238,42,168.439271010157,0.232385576760759
675994,631.761904761905,21,628.880952380952,42,238.331783265452,-0.0120879907055603
679635,528.571428571429,21,650.428571428571,42,167.597815170036,0.727080736306216
679647,544.984962406015,21,575.52380952381,42,218.670079858074,0.13965718189528
679652,600.857142857143,21,539.84668989547,42,273.564142445112,-0.223020650354108
679667,585.571428571429,21,597.456445993031,42,188.051710711813,0.0632007939551077
679671,516.952380952381,21,597.333333333333,42,175.954798575751,0.456827281958709
679681,595.52380952381,21,563.761904761905,42,129.505281836509,-0.245255670745552
679687,638.047619047619,21,666.404761904762,42,237.540042707332,0.119378368943383
679702,562.761904761905,21,576.480836236934,42,109.54516320494,0.125235392176678
679712,572.821428571429,21,587.407665505227,42,168.624225745285,0.0865014316260299
679729,596.904761904762,21,589.666666666667,42,152.825359066432,-0.0473618729398761
679819,531.47619047619,21,569.529616724739,42,167.194579752688,0.227599640519665
679828,620,21,654.383275261324,42,171.542795606474,0.200435553937227
679833,510.666666666667,21,543.619047619048,42,134.292567179239,0.24537754876932
679835,512.371428571429,21,534.97619047619,42,160.861585725215,0.140523057775742
679844,628.428571428571,21,565.928571428571,42,211.963380456101,-0.29486225340204
679852,595.380952380952,21,739.871428571429,42,156.574506086668,0.922822493915431
679860,605.380952380952,21,649.163763066202,42,201.272191920825,0.217530351646752
679867,625.52380952381,21,615.700348432056,42,227.644283080531,-0.0431526808352952
679888,552.142857142857,21,677.285714285714,42,199.784283454402,0.62638989904038
679889,545.616541353383,21,519.296428571429,42,219.643598460842,-0.119831003345391
679960,501.221428571429,21,567.846428571429,42,179.289923967183,0.37160482042591
679979,490.428571428571,21,505.452380952381,42,128.97571386515,0.116485569829973
679993,486.071428571429,21,499.246428571429,42,88.3237672040054,0.149167097566945
680013,628.285714285714,21,722.357142857143,42,240.520068239235,0.391116754872444
